county_fips,county_name,cases,population,cases_per_100k,cases_per_100k_double
0500000US31073,Gosper County,"13.0","1990.0","653.2663316582915",653.26633
0500000US31075,Grant County,"0.0","623.0","0",0.00000
0500000US31077,Greeley County,"5.0","2356.0","212.22410865874363",212.22411
0500000US31079,Hall County,"1615.0","61353.0","2632.308118592408",2632.30812
0500000US31081,Hamilton County,"69.0","9324.0","740.0257400257401",740.02574
0500000US31083,Harlan County,"1.0","3380.0","29.585798816568047",29.58580
0500000US31085,Hayes County,"0.0","922.0","0",0.00000
0500000US31087,Hitchcock County,"1.0","2762.0","36.20564808110065",36.20565
0500000US31089,Holt County,"4.0","10067.0","39.73378364954803",39.73378
0500000US31091,Hooker County,"2.0","682.0","293.2551319648094",293.25513
0500000US31093,Howard County,"47.0","6445.0","729.2474786656322",729.24748
0500000US31095,Jefferson County,"11.0","7046.0","156.11694578484247",156.11695
0500000US31097,Johnson County,"8.0","5071.0","157.7598106882272",157.75981
0500000US31099,Kearney County,"18.0","6495.0","277.1362586605081",277.13626
0500000US31101,Keith County,"4.0","8034.0","49.78839930296241",49.78840
0500000US31103,Keya Paha County,"0.0","806.0","0",0.00000
0500000US31105,Kimball County,"11.0","3632.0","302.86343612334804",302.86344
0500000US31107,Knox County,"25.0","8332.0","300.04800768122897",300.04801
0500000US31109,Lancaster County,"2076.0","319090.0","650.6001441599549",650.60014
0500000US31111,Lincoln County,"66.0","34914.0","189.0359168241966",189.03592
0500000US31113,Logan County,"0.0","748.0","0",0.00000
0500000US31115,Loup County,"0.0","664.0","0",0.00000
0500000US31117,McPherson County,"3.0","494.0","607.2874493927126",607.28745
0500000US31119,Madison County,"382.0","35099.0","1088.3500954443148",1088.35010
0500000US31121,Merrick County,"39.0","7755.0","502.9013539651838",502.90135
0500000US31123,Morrill County,"52.0","4642.0","1120.206807410599",1120.20681
0500000US31125,Nance County,"6.0","3519.0","170.50298380221653",170.50298
0500000US31127,Nemaha County,"5.0","6972.0","71.7154331612163",71.71543
0500000US31129,Nuckolls County,"1.0","4148.0","24.108003857280618",24.10800
0500000US31131,Otoe County,"28.0","16012.0","174.8688483637272",174.86885
0500000US31133,Pawnee County,"1.0","2613.0","38.27018752391887",38.27019
